"masked_pin","period","tax_type","total_turnover","total_operating_expense","total_administrative_expenses","total_financial_expenses","total_other_expenses","gross_tax"
"052732be6cc9b573d68a4dda02b3e6ab4df443a21d1bc167d75a0bcc93020972","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"55a9e55b8e3f47ae12436b7e6ddbf8964b189d1a49ce3be6ea54c030745735c9","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"51be1fe394ca3b04ebec8ab280d622235eb33a3fb2a4181089e893cddb9e21a4","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
efb0f36b58a0731bef5ed6693b47ced518ffe404dbbfa613bfdcd443d1260d91,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"6fbecbc68a8cd81d857cf3544a9a8a5de2738b103cd9991b1e24f62565172f01","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,881619.00
"000cea0a60dcac5a8e45f75578a3e58137f95530f8306748b81f67bea2fa631a","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"00188b3d3c88c9461d92bf2006d48197bc652f51291b4b35192fe4fa90602e64","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"000d57cf288a7c145f359d7260ceeb7fdaf753627fcd6db708b6c21d3f957f61","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,159104.00
"0016b0adfedf2aee60e4b5dbd4962efb4d9940dc5b11a2ccee777870b279efa0","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"000b062a4decd6183403f141d57742cbd9eab4e3e8aeb0cc9dce8663817a96ae","2023",Income Tax - Resident Individual,30000.00,5000.00,0.00,0.00,0.00,1284153.00
"00023b830f05a663f4d9caeeba4e50b6eb04a4c26b342a0dde8294a76687ada3","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"001a53fd6b0973514a9d0a441a576f645ad5467ab34832adf9446ca913166b3e","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,490794.00
"001a53fd6b0973514a9d0a441a576f645ad5467ab34832adf9446ca913166b3e","2023",Income Tax - Resident Individual,15001.00,0.00,0.00,0.00,0.00,412216.00
"6597e135e6f162443e7b0681d552d1a21025edd8cb70609810a933c3276540ef","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,130208.00
c83cf7aab7f5b3ac0311840e0cf9f85816ba00fd632976cee588da587afcb64f,"2023",Income Tax - Company,9208916.00,606500.00,0.00,18509.00,2455520.00,10870.71
"1840fa60762c69320f4962cf60f1d2d802e935df84b693b0aa655877e9c0b403","2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
e3a8873c94e2f49e8ff9076350561fdf805330a4f7168bf08d9af789671c3b88,"2023",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
"77f8646df3ee0d545ade7ac6b86ce6ac477faad853bde8587027de0f5a00d609","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,8791.00
"31ba26c694df86db69e55dcc11d1869b2d38822be005cf0eaaba65a7fefc1216","2024",Income Tax - Resident Individual,4018940.00,128442.00,425060.00,5794.00,92585.00,130630.00
e94c0016d47c43ff23a59c813487a56774fa3045edf8c5aed5846b2d9b39ce8b,"2024",Income Tax - Company,6387934.00,1011950.00,427823.60,18670.00,535700.00,16294.20
de74c82c8f7a0ac71e0c3b0116349491b65fdaf42b0577907160920d9eeb7725,"2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
f3883815114fef580545ba96f59f2c4b1f36723d9f34dcdacaca3eb3eb74b731,"2023",Income Tax - Resident Individual,35420.00,29517.00,0.00,0.00,0.00,190919.00
abb90dab0fb515df854b0a20b5799f0aa8d49412d2b1d5cabdacace5875fbe6e,"2023",Income Tax - Non-Resident Individual,12766299.00,714223.00,357556.00,0.00,8052653.00,1033692.90
"66cfa7d2bb2a358654f155795780dd10329d7b6530e5cd5bc28bd2868b5d913a","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,258305.00
"4220637c01aecfd6ae5342ca2ac492bd30f95d49c60f0b7775622818d0cdbf46","2024",Income Tax - Resident Individual,0.00,0.00,0.00,0.00,0.00,0.00
